La DET_ART 
musique NOM 
aide VER_subp 
à PRP 
garder VER_infi 
espoir NOM 
, PUNIF 
comme KON 
cette PRO_DEM 
femme NOM 
qui PRO_REL 
littéralement ADV 
succombé VER_pper 
au PRP_det 
charme NOM 
musical ADJ 
d' PRP 
Antony NAM 
and KON_en 
the DET_en 
Johnsons NAM 
Cut VER_en 
world NOM 
alors ADV 
qu' KON 
elle PRO_PER 
n' ADV_neg 
écoute VER_pres 
pas ADV_neg 
souvent ADV 
la DET_ART 
. SENT 
les DET_ART 
rues NOM 
se PRO_PER 
souviennent VER_pres 
de PRP 
Jean NAM 
Ferrat NAM 
chantait VER_impf 
Ma ADJ 
môme NOM 
et KON 
évoquent VER_pres 
autres ADJ 
ont VER_pres_mod 
marqué VER_pper 
leur DET_POS 
... PUNF 
y PRO_PER 
plus ADV 
Créteil NAM 
mais KON 
reste VER_pres 
font VER_pres 
vivre VER_infi 
usines NOM 
dans PRP 
mémoires NOM 
des PRP_det 
gens NOM 
Dans PRP 
parcs NOM 
aux PRP_det 
abords NOM 
Marne NAM 
habitants NOM 
parviennent VER_pres 
trouver VER_infi 
correspondances NOM 
entre PRP 
art NOM 
vie NOM 
en PRP 
chantant VER_ppre 
leurs DET_POS 
chansons NOM 
préférées ADJ 
Antoine NAM 
24 NUM 
ans NOM 
étudiant VER_ppre 
en PRP 
philosophie NOM 
s' PRO_PER 
inspire VER_pres 
une DET_ART 
chanson NOM 
Charles NAM 
Aznavour NAM 
faut VER_pres 
savoir VER_infi 
pour PRP 
préserver VER_infi 
sa DET_POS 
Ce PRO_DEM 
est VER_mod VER_pres
parce KON 
on PRO_PER 
plaint VER_pres 
a VER_mod VER_pres
dignité NOM 
Même ADV 
le DET_ART 
quotidien NOM 
parfois ADV 
Toute PRO_IND 
l' DET_ART 
existence NOM 
difficile ADJ 
surmonter VER_infi 
en PRP 
somme NOM 
je PRO_PER 
crois VER_pres 
Il PRO_PER 
être VER_infi 
il PRO_PER 
encore ADV 
fort ADJ 
en PRP 
étant VER_ppre_mod 
heureux ADJ 
brut ADJ 
"""" GUILLEMET_O GUILLEMET_F
